season,region,bracket_seed,bracket_id,team_name,wins,losses,top25_wins,top25_losses,ppg,opp_ppg,bpi
2022,WEST,1,1,GONZ,26,3,5,3,87.8,65.3,1
2022,WEST,16,2,GAST,18,10,0,0,70.6,64.8,137
2022,WEST,8,3,BSU,27,7,0,1,68.7,60.8,55
2022,WEST,9,4,MEM,21,10,3,1,75.4,68.4,22
2022,WEST,5,5,CONN,23,9,3,4,75.2,65.2,17
2022,WEST,12,6,NMSU,26,6,0,0,73.3,65,117
2022,WEST,4,7,ARK,25,8,4,1,76.9,68.5,20
2022,WEST,13,8,UVM,28,5,0,1,74.9,60.3,38
2022,WEST,6,9,ALA,19,13,5,4,80,76.4,21
2022,WEST,11,10,RUTG/ND,-1,-1,-1,-1,-1,-1,-1
2022,WEST,3,11,TTU,25,9,7,4,71.7,60.3,13
2022,WEST,14,12,MTST,27,7,0,0,77,68.5,160
2022,WEST,7,13,MSU,22,12,4,8,72.1,68.4,32
2022,WEST,10,14,DAV,27,6,1,0,75.6,65.8,50
2022,WEST,2,15,DUKE,28,6,2,0,80.2,67.1,11
2022,WEST,15,16,CSUF,21,10,0,0,70.3,66.2,174
2022,EAST,1,17,BAY,26,6,5,3,76.5,63.6,7
2022,EAST,16,18,NORF,24,6,0,0,75.1,63.7,133
2022,EAST,8,19,UNC,24,9,2,4,77.5,71.7,26
2022,EAST,9,20,MARQ,19,12,6,6,74.4,70.9,54
2022,EAST,5,21,SMC,25,7,1,2,69.8,60.5,24
2022,EAST,12,22,WYO/IU,-1,-1,-1,-1,-1,-1,-1
2022,EAST,4,23,UCLA,25,7,4,4,76.4,64.8,10
2022,EAST,13,24,AKR,24,9,0,1,71.2,62.8,101
2022,EAST,6,25,TEX,21,11,3,8,68.3,59.6,18
2022,EAST,11,26,VT,23,12,2,3,70.7,62.3,19
2022,EAST,3,27,PUR,27,7,5,3,79.8,68.8,9
2022,EAST,14,28,YALE,19,11,0,1,72.3,68.8,159
2022,EAST,7,29,MUR,30,2,0,1,79.3,62.3,29
2022,EAST,10,30,SF,24,9,0,3,77.1,67,31
2022,EAST,2,31,UK,26,7,3,6,79.5,66,3
2022,EAST,15,32,SPU,19,11,0,0,66.9,61.8,112
2022,SOUTH,1,33,ARIZ,31,3,5,2,84.6,67.5,4
2022,SOUTH,16,34,WRST.BRY,-1,-1,-1,-1,-1,-1,-1
2022,SOUTH,8,35,HALL,21,10,3,6,72.9,66.3,36
2022,SOUTH,9,36,TCU,20,12,5,6,68.1,65,45
2022,SOUTH,5,37,HOU,29,5,0,1,75.8,58.9,2
2022,SOUTH,12,38,UAB,27,7,0,0,80.7,66.3,47
2022,SOUTH,4,39,ILL,22,9,4,4,75.8,67.6,15
2022,SOUTH,13,40,UTC,27,7,0,0,74.8,64.7,63
2022,SOUTH,6,41,CSU,25,5,0,0,73.7,65.7,81
2022,SOUTH,11,42,MICH,17,14,2,7,73,69.9,28
2022,SOUTH,3,43,TENN,26,7,7,5,73.2,62.8,5
2022,SOUTH,14,44,LONG,26,6,0,0,76.3,65.1,131
2022,SOUTH,7,45,OSU,19,11,4,3,73.8,68.5,23
2022,SOUTH,10,46,LUC,25,7,0,1,73.8,61.7,25
2022,SOUTH,2,47,VILL,26,7,8,5,72.6,63.1,6
2022,SOUTH,15,48,DEL,22,12,0,0,73.8,69.9,151
2022,MIDWEST,1,49,KU,28,6,6,4,78.6,68.1,8
2022,MIDWEST,16,50,TXSO/TCC,-1,-1,-1,-1,-1,-1,-1
2022,MIDWEST,8,51,SDSU,23,8,2,2,65.3,57.7,30
2022,MIDWEST,9,52,CREI,22,11,5,6,69,65.9,69
2022,MIDWEST,5,53,IOWA,26,9,2,5,83.8,71.3,14
2022,MIDWEST,12,54,RICH,23,12,0,0,71.7,68.3,74
2022,MIDWEST,4,55,PROV,25,5,4,2,71.8,67,43
2022,MIDWEST,13,56,SDST,30,4,0,1,86.7,73.4,58
2022,MIDWEST,6,57,LSU,22,11,3,5,73.1,63.5,16
2022,MIDWEST,11,58,ISU,20,12,4,7,66.5,63,53
2022,MIDWEST,3,59,WISC,24,7,5,3,70.7,66.5,27
2022,MIDWEST,14,60,COLG,23,11,0,0,76.1,67.1,109
2022,MIDWEST,7,61,USC,26,7,1,4,72.6,65.9,40
2022,MIDWEST,10,62,MIA,23,10,1,2,74.8,71,56
2022,MIDWEST,2,63,AUB,27,5,3,2,78.7,67,12
2022,MIDWEST,15,64,JVST,21,10,0,1,73.9,66.8,126
